track_ids,track_names,artists,first_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
49uLH3xvQLd4I4pCQacGH8,Love from the Other Side,"[""L'Impératrice""]",L'Impératrice,0.81,0.481,9,-8.914,0,0.0342,0.492,0.0696,0.124,0.561,114.995,audio_features,49uLH3xvQLd4I4pCQacGH8,spotify:track:49uLH3xvQLd4I4pCQacGH8,https://api.spotify.com/v1/tracks/49uLH3xvQLd4I4pCQacGH8,https://api.spotify.com/v1/audio-analysis/49uLH3xvQLd4I4pCQacGH8,249406,4,Happy
6Dk5fHTvH897XrVzCO64Mx,What You Won't Do for Love,['Bobby Caldwell'],Bobby Caldwell,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,audio_features,6Dk5fHTvH897XrVzCO64Mx,spotify:track:6Dk5fHTvH897XrVzCO64Mx,https://api.spotify.com/v1/tracks/6Dk5fHTvH897XrVzCO64Mx,https://api.spotify.com/v1/audio-analysis/6Dk5fHTvH897XrVzCO64Mx,286493,4,Happy
6RiiSy9GzSwiyDEJDiMuKe,Something About You,"['Eyedress', 'Dent May']",Eyedress,0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,audio_features,6RiiSy9GzSwiyDEJDiMuKe,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/tracks/6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/audio-analysis/6RiiSy9GzSwiyDEJDiMuKe,153313,4,Happy
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,['SZA'],SZA,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4,Happy
6shRGWCtBUOPFLFTTqXZIC,Upside Down,['Jack Johnson'],Jack Johnson,0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,audio_features,6shRGWCtBUOPFLFTTqXZIC,spotify:track:6shRGWCtBUOPFLFTTqXZIC,https://api.spotify.com/v1/tracks/6shRGWCtBUOPFLFTTqXZIC,https://api.spotify.com/v1/audio-analysis/6shRGWCtBUOPFLFTTqXZIC,208653,4,Happy
7D7oIpsm4trbxthAU7JMtB,Potential,['Lauv'],Lauv,0.597,0.648,1,-4.967,1,0.0418,0.014,0.0,0.064,0.0878,81.982,audio_features,7D7oIpsm4trbxthAU7JMtB,spotify:track:7D7oIpsm4trbxthAU7JMtB,https://api.spotify.com/v1/tracks/7D7oIpsm4trbxthAU7JMtB,https://api.spotify.com/v1/audio-analysis/7D7oIpsm4trbxthAU7JMtB,177663,4,Happy
5YO44oPkpH4zeinnihUpIR,Throw Some Ass,['Sofi Tukker'],Sofi Tukker,0.823,0.664,3,-4.678,0,0.0579,0.0429,0.00162,0.0489,0.575,131.023,audio_features,5YO44oPkpH4zeinnihUpIR,spotify:track:5YO44oPkpH4zeinnihUpIR,https://api.spotify.com/v1/tracks/5YO44oPkpH4zeinnihUpIR,https://api.spotify.com/v1/audio-analysis/5YO44oPkpH4zeinnihUpIR,182424,4,Happy
4Mn0mNcjY2GpycbCChNLej,Technicolor Dream,['My Friend Catie'],My Friend Catie,0.702,0.656,2,-9.272,1,0.0304,0.21,0.117,0.145,0.697,104.016,audio_features,4Mn0mNcjY2GpycbCChNLej,spotify:track:4Mn0mNcjY2GpycbCChNLej,https://api.spotify.com/v1/tracks/4Mn0mNcjY2GpycbCChNLej,https://api.spotify.com/v1/audio-analysis/4Mn0mNcjY2GpycbCChNLej,250086,4,Happy
47hsUYxvbTlBAN3sP9dEOd,Love Me JeJe,['Tems'],Tems,0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,audio_features,47hsUYxvbTlBAN3sP9dEOd,spotify:track:47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/tracks/47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/audio-analysis/47hsUYxvbTlBAN3sP9dEOd,178042,4,Happy
7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),"['Calvin Harris', 'Frank Ocean', 'Migos', 'Funk Wav']",Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,7tr2za8SQg2CI8EDgrdtNl,spotify:track:7tr2za8SQg2CI8EDgrdtNl,https://api.spotify.com/v1/tracks/7tr2za8SQg2CI8EDgrdtNl,https://api.spotify.com/v1/audio-analysis/7tr2za8SQg2CI8EDgrdtNl,230813,4,Happy
